id,doi,scopus_id,title,authors,year,venue,corresponding_country,affiliations,detection_method,spectral,spectral_range_um_min,spectral_range_um_max,direction,temperature_measurement_method,temperature_control_method,temperature_range_K_min,temperature_range_K_max,citations_total,citations_total_updated,cites,cited_by
10.1007/BF01439254,10.1007/BF01439254,28255074,Method and apparatus for determination of the total directional emissivity of opaque materials in the temperature range 300 to 600 K,S. X. Cheng;S. X. Jing;X. S. Ge;C. C. Yao,1994,International Journal of Thermophysics,CN,"University of Science and Technology of China (CN, Hefei);University of Science and Technology of China (CN, Hefei);University of Science and Technology of China (CN, Hefei);University of Science and Technology of China (CN, Hefei)",pyroelectric detector;chopper locking,false,,,directional,thermocouple,electric heater,300.0,600.0,6,2026-08-02,,
10.1007/BF01443671,10.1007/BF01443671,15204212,"Measurement of the total emittance of graphite, molybdenum, tantalum and tungsten in the temperature range from 1200 K to 2400 K Messung des Gresamtemissionsgrades von Graphit, Molybdän, Tantal und Wolfram bei Temperaturen zwischen 1200 K und 2400 K",G. Neuer,1971,Wärme- und Stoffübertragung,DE,"Universität Stuttgart (DE, Stuttgart)",pyrometer LP2,true,0.5,8.3,directional,pyrometer,Electron-beam heating,1000.0,3000.0,10,2026-08-02,,
10.1007/BF01539529,10.1007/BF01539529,7284610,"Determination of the directional spectral emissivity of solids in the spectral range from 2.5 ?m to 45 ?m at temperatures between 80°C and 350°C Bestimmung des gerichteten spektralen Emissionsgrades von Feststoffen im Wellenlängenbereich von 2,5 ?m bis 45 ?m bei Temperaturen zwischen 80°C und 350°C",J. Lohrengel;R. Todtenhaupt;M. Ragab,1993,Wärme- und Stoffübertragung,DE,"Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);National Institute of Standards (EG, Giza)",FTIR;Nicolet 5DXB,true,2.5,45.0,directional,platinum resistance thermometer;calculated,electric heater,353.0,623.0,23,2026-08-02,,
10.1007/BF01589994,10.1007/BF01589994,25748259,Measurements of the spectral emissivity of surfaces used in jet engines and space technology,V. Lippig;R. Waibel;H. Wilhelmi;D. Straub,1991,Wärme- und Stoffübertragung,DE,"University of the Bundeswehr Munich (DE, Neubiberg);University of the Bundeswehr Munich (DE, Neubiberg);Rheinisch-Westfälische Technische Hochschule Aachen (DE, Aachen);University of the Bundeswehr Munich (DE, Neubiberg)",Grid-grating monochromator indium-antimonide photo detector,true,1.8,5.6,normal,thermocouple,electric heater;furnace,,2073.0,0,2026-08-02,,
10.1007/s00339-008-4601-4,10.1007/s00339-008-4601-4,49449086898,Laser pulse transient method for measuring the normal spectral emissivity of samples with arbitrary surface quality,A. Jeromen;I. Grabec;E. Govekar,2008,Applied Physics A: Materials Science and Processing,SI,"Univerza v Ljubljani (SI, Ljubljana);Univerza v Ljubljani (SI, Ljubljana);Univerza v Ljubljani (SI, Ljubljana)",infrared camera,,,,normal,infrared camera,,,,3,2026-08-02,,
10.1007/s00340-024-08331-9,10.1007/s00340-024-08331-9,85205980906,Experimental setup for the determination of spectral normal emissivity of conductive materials in the 1–18 ?m wavelength range at 300–1700 °C in air,R. A. Mironov;A. E. Kryukov;A. O. Zabezhaylov;M. O. Zabezhaylov;M. Y. Rusin,2024,Applied Physics B: Lasers and Optics,RU,"ORPE “Technologiya” named after A.G. Romashin (RU, Obninsk);ORPE “Technologiya” named after A.G. Romashin (RU, Obninsk);ORPE “Technologiya” named after A.G. Romashin (RU, Obninsk);ORPE “Technologiya” named after A.G. Romashin (RU, Obninsk);ORPE “Technologiya” named after A.G. Romashin (RU, Obninsk)",FTIR;Simex FT-805,true,1.0,18.0,normal,pyrometer;calculated;iterative method,induction heating,573.0,1973.0,1,2026-08-02,10.1007/s10765-007-0183-1;10.1088/1742-6596/395/1/012152;10.3390/s21186252,10.1088/1742-6596/13/1/015
10.1007/s10765-007-0183-1,10.1007/s10765-007-0183-1,34250646992,Temperature-resolved infrared spectral emissivity of SiC and Pt-10Rh for temperatures up to 900°C,Claus P. Cagran;Leonard M. Hanssen;Mart Noorma;Alex V. Gura;Sergey N. Mekhontsev,2007,International Journal of Thermophysics,US,"National Institute of Standards and Technology (US, Gaithersburg);National Institute of Standards and Technology (US, Gaithersburg);National Institute of Standards and Technology (US, Gaithersburg);National Institute of Standards and Technology (US, Gaithersburg);National Institute of Standards and Technology (US, Gaithersburg)",FTIR;Bomem DA3,true,2.0,20.0,directional,platinum resistance thermometer,Heat-pipe heaters,793.0,1943.0,115,2026-08-02,10.1007/s10765-016-2058-9;10.1007/s10765-022-03129-3;10.1007/s10765-024-03393-5;10.1016/j.ijheatmasstransfer.2012.02.055;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2015.01.011;10.1016/j.infrared.2018.06.031;10.1016/j.infrared.2023.105060;10.1016/j.jqsrt.2022.108277;10.1016/j.measurement.2023.113999;10.1088/0026-1394/47/2/S14;10.1088/0957-0233/25/9/095501;10.1088/1681-7575/ab84ff,10.1007/s00340-024-08331-9;10.1007/s10765-018-2472-2;10.1016/j.applthermaleng.2019.114854;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.infrared.2022.104515;10.1016/s0031-8914(54)80182-0;10.1115/1.4006088;10.1117/12.542224
10.1007/s10765-008-0442-9,10.1007/s10765-008-0442-9,59349119240,Radiation thermometry and emissivity measurements under vacuum at the PTB,C. Monte;B. Gutschwager;S. P. Morozova;J. Hollandt,2009,International Journal of Thermophysics,DE,"Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);All-Russian Research Institute for Optical and Physical Measurements (RU, Moscow);Physikalisch-Technische Bundesanstalt (DE, Braunschweig)",FTIR;Bruker Vertex 80v,true,1.0,1000.0,directional,platinum resistance thermometer;calculated,electric heater,273.0,703.0,98,2026-08-02,10.1007/s10765-013-1531-y;10.1007/s10765-016-2058-9;10.1007/s10765-021-02813-0;10.1007/s10765-022-03129-3;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.jqsrt.2022.108277;10.1088/0026-1394/47/2/S14;10.1109/TIM.2023.3268656;10.3390/ma12071141;10.3390/s21186252;scopus_77957053134,10.1007/s10765-014-1745-7;10.1007/s10765-015-1969-1;10.1007/s11018-012-0103-z;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.infrared.2022.104515;10.1016/j.jqsrt.2020.107316;10.1088/1361-6501/ab5e9b;10.1109/TIM.2025.3551925;10.1115/1.4006088
10.1007/s10765-010-0847-0,10.1007/s10765-010-0847-0,79960697670,Simultaneous measurement method of normal spectral emissivity and optical constants of solids at high temperature in vacuum,K. Nakazawa;A. Ohnishi,2010,International Journal of Thermophysics,JP,"Tokai University (JP, Tokyo);JAXA Institute of Space and Astronautical Science (JP, Sagamihara)",FTIR;FTS-60A/596; Bio-Rad,true,1.6,22.0,normal,thermopile;calculated,electric heater,373.0,1673.0,19,2026-08-02,10.1007/s10765-016-2058-9;10.1007/s10765-022-03129-3;10.1016/j.applthermaleng.2019.114854;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.infrared.2018.06.031;10.1016/j.infrared.2019.102974;10.1016/j.jqsrt.2022.108277;10.1109/TIM.2023.3268656,
10.1007/s10765-011-0986-y,10.1007/s10765-011-0986-y,85027945411,Normal and directional spectral emittance measurement of semi-transparent materials using two-substrate method: Alumina,Geun Woo Lee;Sangho Jeon;Nam Joon Yoo;Chul Woung Park;Seung Nam Park;Su Yong Kwon;Sang Hyun Lee,2011,International Journal of Thermophysics,KR,"Korea Research Institute of Standards and Science (KR, Yusong);Korea Research Institute of Standards and Science (KR, Yusong);Korea Research Institute of Standards and Science (KR, Yusong);Korea Research Institute of Standards and Science (KR, Yusong);Korea Research Institute of Standards and Science (KR, Yusong);Korea Research Institute of Standards and Science (KR, Yusong);Korea Research Institute of Standards and Science (KR, Yusong)",FTIR;Nicolet 6700,true,2.5,25.0,directional,thermocouple,electric heater,,1473.0,13,2026-08-02,10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.infrared.2019.102974;10.1063/1.2393157;10.1088/1674-1056/25/4/047801,
